predicted_yield,risk_level,recommendations
3.766753686117674,High,"['Apply high-dose pesticide due to high risk conditions.', 'Heavy rainfall alert: Monitor for waterlogging.', 'High environmental stress: Consider crop rotation.']"
6.648964245313513,High,"['Increase Phosphorus fertilizer dosage by 15%.', 'Apply high-dose pesticide due to high risk conditions.', 'Heavy rainfall alert: Monitor for waterlogging.', 'High environmental stress: Consider crop rotation.']"
0.9597331279049338,High,"['Increase Potassium fertilizer dosage by 10%.', 'Apply high-dose pesticide due to high risk conditions.', 'Heavy rainfall alert: Monitor for waterlogging.', 'High environmental stress: Consider crop rotation.']"
0.3139171265667513,High,"['Increase Potassium fertilizer dosage by 10%.', 'Apply high-dose pesticide due to high risk conditions.', 'Heavy rainfall alert: Monitor for waterlogging.', 'High environmental stress: Consider crop rotation.']"
0.12248703111159984,High,"['Increase Potassium fertilizer dosage by 10%.', 'Apply high-dose pesticide due to high risk conditions.', 'Heavy rainfall alert: Monitor for waterlogging.', 'High environmental stress: Consider crop rotation.']"
2.5217099164685863,High,"['Increase Potassium fertilizer dosage by 10%.', 'Apply high-dose pesticide due to high risk conditions.', 'Heavy rainfall alert: Monitor for waterlogging.', 'High environmental stress: Consider crop rotation.']"
0.013955578826071346,High,"['Apply high-dose pesticide due to high risk conditions.', 'Heavy rainfall alert: Monitor for waterlogging.', 'High environmental stress: Consider crop rotation.']"
1.5068017579604427,High,"['Increase Potassium fertilizer dosage by 10%.', 'Apply high-dose pesticide due to high risk conditions.', 'Heavy rainfall alert: Monitor for waterlogging.', 'High environmental stress: Consider crop rotation.']"
1.1651111825013047,High,"['Increase Potassium fertilizer dosage by 10%.', 'Apply high-dose pesticide due to high risk conditions.', 'Heavy rainfall alert: Monitor for waterlogging.', 'High environmental stress: Consider crop rotation.']"
11.228460401422954,High,"['Apply high-dose pesticide due to high risk conditions.', 'Heavy rainfall alert: Monitor for waterlogging.', 'High environmental stress: Consider crop rotation.']"
1.8115967655186884,High,"['Apply high-dose pesticide due to high risk conditions.', 'Heavy rainfall alert: Monitor for waterlogging.', 'High environmental stress: Consider crop rotation.']"
